run_id,mode,task_id,task_name,start_time,end_time,cycle_time_sec,artifact_path,defect_count,rework_sec,quality_score_1_to_5,ai_prompt_used,ai_output_used,notes
1,classic,A1,Map contractor routes,,,,,0,0,,,no,no,
2,ai,A1,Map contractor routes,,,,,0,0,,,yes,yes,
3,classic,A2,Identify owner-only route checks,,,,,0,0,,,no,no,
4,ai,A2,Identify owner-only route checks,,,,,0,0,,,yes,yes,
5,classic,A3,Unknown action behavior analysis,,,,,0,0,,,no,no,
6,ai,A3,Unknown action behavior analysis,,,,,0,0,,,yes,yes,
7,classic,A4,Regression checklist update draft,,,,,0,0,,,no,no,
8,ai,A4,Regression checklist update draft,,,,,0,0,,,yes,yes,
9,classic,B1,Submit-work happy path validation,,,,,0,0,,,no,no,
10,ai,B1,Submit-work happy path validation,,,,,0,0,,,yes,yes,
11,classic,B2,Reject-needs_changes validation,,,,,0,0,,,no,no,
12,ai,B2,Reject-needs_changes validation,,,,,0,0,,,yes,yes,
13,classic,B3,Media preview behavior validation,,,,,0,0,,,no,no,
14,ai,B3,Media preview behavior validation,,,,,0,0,,,yes,yes,
15,classic,B4,Bug report from simulated failure,,,,,0,0,,,no,no,
16,ai,B4,Bug report from simulated failure,,,,,0,0,,,yes,yes,
17,classic,C1,Owner gating trace and explanation,,,,,0,0,,,no,no,
18,ai,C1,Owner gating trace and explanation,,,,,0,0,,,yes,yes,
19,classic,C2,Role matrix snippet creation,,,,,0,0,,,no,no,
20,ai,C2,Role matrix snippet creation,,,,,0,0,,,yes,yes,
21,classic,D1,Release note draft for workflow change,,,,,0,0,,,no,no,
22,ai,D1,Release note draft for workflow change,,,,,0,0,,,yes,yes,
23,classic,D2,Executive summary for stakeholders,,,,,0,0,,,no,no,
24,ai,D2,Executive summary for stakeholders,,,,,0,0,,,yes,yes,
